currency,date,avg_value
HKD,2007-07,10.724745454545454
HKD,2007-08,10.646934782608698
HKD,2007-09,10.815110000000002
HKD,2007-10,11.032682608695652
HKD,2007-11,11.42105909090909
HKD,2007-12,11.361926315789473
HKD,2008-01,11.486277272727275
HKD,2008-02,11.499633333333335
HKD,2008-03,12.083157894736843
HKD,2008-04,12.272763636363637
HKD,2008-05,12.134085714285716
HKD,2008-06,12.142457142857145
HKD,2008-07,12.300426086956522
HKD,2008-08,11.693152380952382
HKD,2008-09,11.190522727272727
HKD,2008-10,10.336808695652174
HKD,2008-11,9.868654999999999
HKD,2008-12,10.423995238095237
HKD,2009-01,10.268690476190477
HKD,2009-02,9.912825000000002
HKD,2009-03,10.113781818181819
HKD,2009-04,10.222859999999997
HKD,2009-05,10.580654999999998
HKD,2009-06,10.863790909090907
HKD,2009-07,10.918191304347827
HKD,2009-08,11.058661904761905
HKD,2009-09,11.285768181818177
HKD,2009-10,11.482809090909091
HKD,2009-11,11.55879523809524
HKD,2009-12,11.329600000000001
HKD,2010-01,11.07828
HKD,2010-02,10.630450000000002
HKD,2010-03,10.531278260869561
HKD,2010-04,10.406485
HKD,2010-05,9.784295238095236
HKD,2010-06,9.509077272727273
HKD,2010-07,9.930845454545453
HKD,2010-08,10.0193
HKD,2010-09,10.147040909090911
HKD,2010-10,10.783485714285714
HKD,2010-11,10.594127272727274
HKD,2010-12,10.277613043478263
HKD,2011-01,10.39452380952381
HKD,2011-02,10.631235
HKD,2011-03,10.909321739130435
HKD,2011-04,11.226905263157898
HKD,2011-05,11.155081818181818
HKD,2011-06,11.202068181818179
HKD,2011-07,11.110376190476192
HKD,2011-08,11.184552173913042
HKD,2011-09,10.733318181818182
HKD,2011-10,10.661576190476191
HKD,2011-11,10.54948181818182
HKD,2011-12,10.24961904761905
HKD,2012-01,10.018727272727274
HKD,2012-02,10.25527142857143
HKD,2012-03,10.247349999999999
HKD,2012-04,10.216278947368421
HKD,2012-05,9.92906818181818
HKD,2012-06,9.719214285714285
HKD,2012-07,9.530749999999998
